date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:27	37235/37235	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2021%20Jan%202019%2006:33:14%20GMT	https://kidsdiscoveryworld.com/fonts/Calibri_gdi.eot	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/fonts/Calibri_gdi.eot	(from https://kidsdiscoveryworld.com/css/fonts.css)
15:42:28	37235/37235	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2021%20Jan%202019%2006:33:14%20GMT	https://kidsdiscoveryworld.com/fonts/Calibri_gdi.eot?	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/fonts/Calibri_gdid41d.eot	(from https://kidsdiscoveryworld.com/css/fonts.css)
15:42:28	40164/40164	---M--	200	added ('OK')	font/woff	date:Mon,%2021%20Jan%202019%2006:33:31%20GMT	https://kidsdiscoveryworld.com/fonts/Calibri_gdi.woff	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/fonts/Calibri_gdi.woff	(from https://kidsdiscoveryworld.com/css/fonts.css)
15:42:28	66304/66304	---M--	200	added ('OK')	font/ttf	date:Mon,%2021%20Jan%202019%2006:33:23%20GMT	https://kidsdiscoveryworld.com/fonts/Calibri_gdi.ttf	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/fonts/Calibri_gdi.ttf	(from https://kidsdiscoveryworld.com/css/fonts.css)
15:42:28	263066/263066	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2021%20Jan%202019%2006:33:37%20GMT	https://kidsdiscoveryworld.com/fonts/Calibri_gdi.svg	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/fonts/Calibri_gdi.svg	(from https://kidsdiscoveryworld.com/css/fonts.css)
15:42:28	38076/38076	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2021%20Jan%202019%2006:32:47%20GMT	https://kidsdiscoveryworld.com/fonts/Calibri-Bold_gdi.eot	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/fonts/Calibri-Bold_gdi.eot	(from https://kidsdiscoveryworld.com/css/fonts.css)
15:42:29	38076/38076	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2021%20Jan%202019%2006:32:47%20GMT	https://kidsdiscoveryworld.com/fonts/Calibri-Bold_gdi.eot?	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/fonts/Calibri-Bold_gdid41d.eot	(from https://kidsdiscoveryworld.com/css/fonts.css)
15:42:29	40872/40872	---M--	200	added ('OK')	font/woff	date:Mon,%2021%20Jan%202019%2006:33:09%20GMT	https://kidsdiscoveryworld.com/fonts/Calibri-Bold_gdi.woff	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/fonts/Calibri-Bold_gdi.woff	(from https://kidsdiscoveryworld.com/css/fonts.css)
15:42:29	68784/68784	---M--	200	added ('OK')	font/ttf	date:Mon,%2021%20Jan%202019%2006:33:03%20GMT	https://kidsdiscoveryworld.com/fonts/Calibri-Bold_gdi.ttf	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/fonts/Calibri-Bold_gdi.ttf	(from https://kidsdiscoveryworld.com/css/fonts.css)
15:42:29	265427/265427	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2021%20Jan%202019%2006:33:11%20GMT	https://kidsdiscoveryworld.com/fonts/Calibri-Bold_gdi.svg	C:/Meus%20Sites/Site%20Creche/kidsdiscoveryworld.com/fonts/Calibri-Bold_gdi.svg	(from https://kidsdiscoveryworld.com/css/fonts.css)
